country_region_name,local_authority_code,local_authority_name,ratio_2025,ratio_2002,absolute_change,percent_change
London,E09000020,Kensington and Chelsea,21.87,10.68,11.190000000000001,104.78
London,E09000013,Hammersmith and Fulham,14.83,8.55,6.279999999999999,73.45
London,E09000031,Waltham Forest,11.86,5.69,6.169999999999999,108.44
London,E09000009,Ealing,13.21,7.08,6.130000000000001,86.58
London,E09000014,Haringey,13.02,7.03,5.989999999999999,85.21
London,E09000005,Brent,13.89,8.1,5.790000000000001,71.48
South East,E07000210,Mole Valley,13.51,7.79,5.72,73.43
East of England,E07000098,Hertsmere,12.27,6.64,5.63,84.79
South East,E07000225,Chichester,11.77,6.16,5.609999999999999,91.07
London,E09000017,Hillingdon,12.07,6.47,5.6000000000000005,86.55
London,E09000033,Westminster,16.44,11.01,5.4300000000000015,49.32
London,E09000027,Richmond upon Thames,12.58,7.26,5.32,73.28
South East,E07000215,Tandridge,12.32,7.07,5.25,74.26
London,E09000002,Barking and Dagenham,9.77,4.68,5.09,108.76
London,E09000026,Redbridge,11.19,6.22,4.97,79.9
East of England,E07000102,Three Rivers,12.39,7.52,4.870000000000001,64.76
London,E09000018,Hounslow,11.87,7.0,4.869999999999999,69.57
London,E09000010,Enfield,10.85,6.03,4.819999999999999,79.93
London,E09000007,Camden,14.49,9.71,4.779999999999999,49.23
London,E09000003,Barnet,12.07,7.42,4.65,62.67
