country_region_name,local_authorities,mean_ratio,median_ratio,min_ratio,max_ratio
London,32,11.951875,11.54,9.59,21.87
South East,64,9.4321875,9.4,6.82,13.51
East of England,45,8.727333333333334,8.62,6.32,12.39
South West,26,8.313461538461539,8.32,6.39,11.03
East Midlands,35,6.731142857142857,6.83,5.36,7.96
West Midlands,30,6.947,6.630000000000001,4.73,9.17
Wales,22,5.788181818181818,5.835,3.98,7.46
North West,35,5.759714285714286,5.73,3.86,8.67
Yorkshire and The Humber,15,5.6979999999999995,5.53,4.46,7.53
North East,12,4.92,4.83,4.28,5.89
