country_region_name,local_authority_code,local_authority_name,ratio_2025,ratio_2002,absolute_change,percent_change
North West,E06000009,Blackpool,4.27,3.51,0.7599999999999998,21.65
South West,E07000040,East Devon,8.36,7.54,0.8199999999999994,10.88
South East,E07000088,Gosport,6.82,5.67,1.1500000000000004,20.28
South West,E07000080,Forest of Dean,6.5,5.33,1.17,21.95
East of England,E07000012,South Cambridgeshire,8.75,7.54,1.21,16.05
North West,E07000128,Wyre,5.13,3.91,1.2199999999999998,31.2
East Midlands,E06000017,Rutland,7.94,6.72,1.2200000000000006,18.15
West Midlands,E08000029,Solihull,7.04,5.78,1.2599999999999998,21.8
South West,E06000027,Torbay,7.46,6.16,1.2999999999999998,21.1
North East,E08000024,Sunderland,4.64,3.32,1.3199999999999998,39.76
North East,E06000004,Stockton-on-Tees,4.66,3.33,1.33,39.94
West Midlands,E07000220,Rugby,6.25,4.91,1.3399999999999999,27.29
South East,E06000045,Southampton,7.0,5.66,1.3399999999999999,23.67
Wales,W06000009,Pembrokeshire,6.15,4.72,1.4300000000000006,30.3
North East,E08000037,Gateshead,4.8,3.36,1.44,42.86
South West,E07000047,West Devon,7.82,6.38,1.4400000000000004,22.57
North West,E07000120,Hyndburn,3.86,2.4,1.46,60.83
North East,E06000005,Darlington,4.92,3.42,1.5,43.86
North East,E06000002,Middlesbrough,4.36,2.83,1.5300000000000002,54.06
North West,E07000119,Fylde,5.46,3.91,1.5499999999999998,39.64
